id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q114496185,Deputy Prime Minister of Papua New Guinea,Q691,Q691,,,,,,,
Q114496233,Governor of New Ireland Province,,Q838690,,,,,,,
Q1073440,Governor-General of Papua New Guinea,Q691,,,Q29583409,1975-09-16,,,,Governor-General of Papua New Guinea
Q113961490,Member of the Bougainville House of Representatives,,,,,,,,,
Q21294916,Member of the Parliament of Papua New Guinea,Q691,Q691,,,,,,,
Q114496186,Minister for Agriculture and Livestock,Q691,Q691,,,,,,,
Q114496187,Minister for Bougainville Affairs,Q691,Q691,,,,,,,
Q114496189,Minister for Civil Aviation,Q691,Q691,,,,,,,
Q114496190,Minister for Commerce and Industry,Q691,Q691,,,,,,,
Q114496191,Minister for Communication and ICT,Q691,Q691,,,,,,,
Q114496192,Minister for Community Development,Q691,Q691,,,,,,,
Q114496193,Minister for Correctional Services,Q691,Q691,,,,,,,
Q114496194,Minister for Defence,Q691,Q691,,,,,,,
Q114496195,Minister for Energy,Q691,Q691,,,,,,,
Q114496196,"Minister for Environment, Conservation and Climate Change",Q691,Q691,,,,,,,
Q114496197,Minister for Fisheries and Marine Resources,Q691,Q691,,,,,,,
Q24188607,Minister for Foreign Affairs and Immigration,Q691,Q691,,,,,,,
Q114496198,Minister for Forestry,Q691,Q691,,,,,,,
Q114496199,Minister for Health and HIV/AIDS,Q691,Q691,,,,,,,
Q114496200,Minister for Higher Education,Q691,Q691,,,,,,,
Q114496201,Minister for Housing and Urban Development,Q691,Q691,,,,,,,
Q114496202,Minister for Immigration and Border Security,Q691,Q691,,,,,,,
Q114496203,Minister for Inter-Government Relations,Q691,Q691,,,,,,,
Q114496204,Minister for Justice,Q691,Q691,,,,,,,
Q114496205,Minister for Labour and Employment,Q691,Q691,,,,,,,
Q114496206,Minister for Lands and Physical Planning,Q691,Q691,,,,,,,
Q114496207,Minister for Mining,Q691,Q691,,,,,,,
Q114496208,Minister for Petroleum,Q691,Q691,,,,,,,
Q114496209,Minister for Police,Q691,Q691,,,,,,,
Q114496210,Minister for Public Service,Q691,Q691,,,,,,,
Q114496211,Minister for Religion,Q691,Q691,,,,,,,
Q114496212,Minister for Research,Q691,Q691,,,,,,,
Q114496214,Minister for Rural Development,Q691,Q691,,,,,,,
Q114496215,Minister for Science and Technology,Q691,Q691,,,,,,,
Q114496216,Minister for Sports and National Gaming,Q691,Q691,,,,,,,
Q114496217,Minister for State Enterprises,Q691,Q691,,,,,,,
Q114496218,"Minister for Tourism, Arts and Culture",Q691,Q691,,,,,,,
Q114496219,Minister for Transport and Infrastructure,Q691,Q691,,,,,,,
Q114496220,Minister for Treasury,Q691,Q691,,,,,,,
Q114496221,Minister for Works and Implementation,Q691,Q691,,,,,,,
Q114496222,Minister for Youth,Q691,Q691,,,,,,,
Q113575679,Minister of Education,Q691,Q691,,,,,,,
Q113575677,Minister of Finance,,Q691,,,,,,,
Q20716378,Minister of Foreign Affairs,Q691,Q691,,,,,,,Minister for Foreign Affairs (Papua New Guinea)
Q114496735,Minister of National Planning,Q691,Q691,,,,,,,
Q30622412,Papua New Guinean Ambassador to China,,,,,,,,,List of ambassadors of Papua New Guinea to China
Q29026403,Papua New Guinean Ambassador to the United States,Q691,,,,,,,,List of ambassadors of Papua New Guinea to the United States
Q7241305,President of the Autonomous Region of Bougainville,,Q18826,Q7925066,,2005-06-15,,,,President of the Autonomous Region of Bougainville
Q1074656,Prime Minister of Papua New Guinea,Q691,Q691,,,1975-09-16,,,,Prime Minister of Papua New Guinea
Q6597957,Speaker of the National Parliament of Papua New Guinea,Q691,Q691,,,1975,,,,Speaker of the National Parliament of Papua New Guinea
Q7925066,Vice President of the Autonomous Region of Bougainville,,Q18826,,,2005-06-15,,,,Vice-President of the Autonomous Region of Bougainville
Q112245673,ambassador of Papua New Guinea,Q691,,,,,,,,
Q86447120,member of the 10th National Parliament of Papua New Guinea,Q691,,,,2017-07-08,,,,
Q34518124,monarch of Papua New Guinea,Q691,,,,,,,,
